Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
Nurse practitioners,Newfoundland and Labrador,Supply,Total,136,149,165,168,183,191,207,231,260,290,
Nurse practitioners,Newfoundland and Labrador,Age,Age <25,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Newfoundland and Labrador,Age,Age 25–34,13,23,28,28,37,33,43,46,60,54,
Nurse practitioners,Newfoundland and Labrador,Age,Age 35–44,39,37,38,42,50,60,63,75,87,112,
Nurse practitioners,Newfoundland and Labrador,Age,Age 45–54,61,59,67,67,61,59,62,65,63,67,
Nurse practitioners,Newfoundland and Labrador,Age,Age 55–64,21,28,28,25,31,34,33,40,45,52,
Nurse practitioners,Newfoundland and Labrador,Age,Age 65+,2,2,4,6,4,5,6,5,5,5,
Nurse practitioners,Newfoundland and Labrador,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Newfoundland and Labrador,Age,Average age,47.0,46.4,46.1,45.9,44.9,45.2,44.8,44.5,44.0,44.2,
Nurse practitioners,Newfoundland and Labrador,Sex,Female,117,127,141,144,158,166,177,197,226,254,
Nurse practitioners,Newfoundland and Labrador,Sex,Male,19,22,24,24,25,25,30,34,34,36,
Nurse practitioners,Newfoundland and Labrador,Sex,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Newfoundland and Labrador,Inflow,Total,12,—,21,18,31,21,27,36,36,48,
Nurse practitioners,Newfoundland and Labrador,Inflow,Age <35,9,—,12,7,13,7,14,21,22,11,
Nurse practitioners,Newfoundland and Labrador,Inflow,Age 35–54,3,—,6,9,14,11,13,13,12,34,
Nurse practitioners,Newfoundland and Labrador,Inflow,Age 55+,0,—,3,2,4,3,0,2,2,3,
Nurse practitioners,Newfoundland and Labrador,Inflow,Age not stated,0,—,0,0,0,0,0,0,0,0,
Nurse practitioners,Newfoundland and Labrador,Outflow,Total,—,5,15,16,13,11,12,7,18,—,
Nurse practitioners,Newfoundland and Labrador,Outflow,Age <35,—,1,2,2,2,3,5,0,6,—,
Nurse practitioners,Newfoundland and Labrador,Outflow,Age 35–54,—,2,5,7,6,4,4,5,8,—,
Nurse practitioners,Newfoundland and Labrador,Outflow,Age 55+,—,2,8,7,5,4,3,2,4,—,
Nurse practitioners,Newfoundland and Labrador,Outflow,Age not stated,—,0,0,0,0,0,0,0,0,—,
Nurse practitioners,Newfoundland and Labrador,Renewal,Total,124,—,144,150,152,170,180,195,224,242,
Nurse practitioners,Newfoundland and Labrador,Renewal,Age <35,4,—,16,21,24,26,29,25,38,43,
Nurse practitioners,Newfoundland and Labrador,Renewal,Age 35–54,97,—,99,100,97,108,112,127,138,145,
Nurse practitioners,Newfoundland and Labrador,Renewal,Age 55+,23,—,29,29,31,36,39,43,48,54,
Nurse practitioners,Newfoundland and Labrador,Renewal,Age not stated,0,—,0,0,0,0,0,0,0,0,
Nurse practitioners,Newfoundland and Labrador,Employment status,Employed in profession,136,148,163,164,180,189,205,229,258,290,
Nurse practitioners,Newfoundland and Labrador,Employment status,Employed in other than profession and seeking employment in profession,0,0,0,0,0,0,0,1,0,0,
Nurse practitioners,Newfoundland and Labrador,Employment status,Employed in other than profession and not seeking employment in profession,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Newfoundland and Labrador,Employment status,Not employed and seeking employment in profession,0,0,1,2,2,2,2,1,2,0,
Nurse practitioners,Newfoundland and Labrador,Employment status,Not employed and not seeking employment in profession,0,0,0,1,1,0,0,0,0,0,
Nurse practitioners,Newfoundland and Labrador,Employment status,Not stated,0,1,1,1,0,0,0,0,0,0,
Nurse practitioners,Newfoundland and Labrador,Location of graduation,Canadian educated,136,149,164,167,180,190,206,230,259,287,
Nurse practitioners,Newfoundland and Labrador,Location of graduation,Internationally educated,0,0,1,1,3,1,1,1,1,3,
Nurse practitioners,Newfoundland and Labrador,Location of graduation,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Newfoundland and Labrador,Years since graduation,<5 years,0,2,1,0,0,0,0,1,0,0,
Nurse practitioners,Newfoundland and Labrador,Years since graduation,5–10 years,9,18,29,28,34,32,41,48,54,51,
Nurse practitioners,Newfoundland and Labrador,Years since graduation,11–20 years,40,36,36,43,57,68,70,77,97,122,
Nurse practitioners,Newfoundland and Labrador,Years since graduation,21–30 years,53,59,61,60,57,52,57,61,60,59,
Nurse practitioners,Newfoundland and Labrador,Years since graduation,31+ years,34,34,38,37,35,39,39,44,49,58,
Nurse practitioners,Newfoundland and Labrador,Years since graduation,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Prince Edward Island,Supply,Total,17,22,24,29,43,49,53,60,71,78,
Nurse practitioners,Prince Edward Island,Age,Age <25,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Prince Edward Island,Age,Age 25–34,7,6,5,6,17,17,14,13,14,15,
Nurse practitioners,Prince Edward Island,Age,Age 35–44,7,11,14,15,16,19,26,30,35,36,
Nurse practitioners,Prince Edward Island,Age,Age 45–54,2,5,5,7,10,10,10,13,17,19,
Nurse practitioners,Prince Edward Island,Age,Age 55–64,1,0,0,1,0,3,3,4,5,8,
Nurse practitioners,Prince Edward Island,Age,Age 65+,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Prince Edward Island,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Prince Edward Island,Age,Average age,38.6,38.2,39.2,40.4,38.6,39.2,40.0,41.2,41.2,42.1,
Nurse practitioners,Prince Edward Island,Sex,Female,17,21,23,28,40,46,50,57,67,71,
Nurse practitioners,Prince Edward Island,Sex,Male,0,1,1,1,3,3,3,3,4,4,
Nurse practitioners,Prince Edward Island,Sex,Not stated,0,0,0,0,0,0,0,0,0,3,
Nurse practitioners,Prince Edward Island,Inflow,Total,5,9,3,6,15,7,8,7,13,14,
Nurse practitioners,Prince Edward Island,Inflow,Age <35,2,3,2,3,12,5,4,2,6,5,
Nurse practitioners,Prince Edward Island,Inflow,Age 35–54,2,6,1,2,3,1,4,4,7,6,
Nurse practitioners,Prince Edward Island,Inflow,Age 55+,1,0,0,1,0,1,0,1,0,3,
Nurse practitioners,Prince Edward Island,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Prince Edward Island,Outflow,Total,4,1,1,1,1,4,0,2,7,—,
Nurse practitioners,Prince Edward Island,Outflow,Age <35,2,1,1,0,1,2,0,0,0,—,
Nurse practitioners,Prince Edward Island,Outflow,Age 35–54,1,0,0,0,0,2,0,2,7,—,
Nurse practitioners,Prince Edward Island,Outflow,Age 55+,1,0,0,1,0,0,0,0,0,—,
Nurse practitioners,Prince Edward Island,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,—,
Nurse practitioners,Prince Edward Island,Renewal,Total,12,13,21,23,28,42,45,53,58,64,
Nurse practitioners,Prince Edward Island,Renewal,Age <35,5,3,3,3,5,12,10,11,8,10,
Nurse practitioners,Prince Edward Island,Renewal,Age 35–54,7,10,18,20,23,28,32,39,45,49,
Nurse practitioners,Prince Edward Island,Renewal,Age 55+,0,0,0,0,0,2,3,3,5,5,
Nurse practitioners,Prince Edward Island,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Prince Edward Island,Employment status,Employed in profession,14,22,24,28,38,45,—,58,71,76,
Nurse practitioners,Prince Edward Island,Employment status,Employed in other than profession and seeking employment in profession,0,0,0,0,0,0,—,0,0,0,
Nurse practitioners,Prince Edward Island,Employment status,Employed in other than profession and not seeking employment in profession,0,0,0,0,0,0,—,0,0,0,
Nurse practitioners,Prince Edward Island,Employment status,Not employed and seeking employment in profession,0,0,0,1,0,0,—,0,0,0,
Nurse practitioners,Prince Edward Island,Employment status,Not employed and not seeking employment in profession,1,0,0,0,1,2,—,0,0,0,
Nurse practitioners,Prince Edward Island,Employment status,Not stated,2,0,0,0,4,2,—,2,0,2,
Nurse practitioners,Prince Edward Island,Location of graduation,Canadian educated,—,—,23,27,—,48,53,59,71,76,
Nurse practitioners,Prince Edward Island,Location of graduation,Internationally educated,—,—,1,1,—,1,0,1,0,2,
Nurse practitioners,Prince Edward Island,Location of graduation,Not stated,—,—,0,1,—,0,0,0,0,0,
Nurse practitioners,Prince Edward Island,Years since graduation,<5 years,0,0,0,0,0,0,6,0,0,0,
Nurse practitioners,Prince Edward Island,Years since graduation,5–10 years,8,10,9,9,13,14,8,9,11,18,
Nurse practitioners,Prince Edward Island,Years since graduation,11–20 years,7,10,12,16,25,29,33,41,48,45,
Nurse practitioners,Prince Edward Island,Years since graduation,21–30 years,2,1,2,2,4,5,4,6,8,9,
Nurse practitioners,Prince Edward Island,Years since graduation,31+ years,0,1,1,2,1,1,2,4,4,6,
Nurse practitioners,Prince Edward Island,Years since graduation,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Nova Scotia,Supply,Total,149,146,163,182,204,220,240,274,330,368,
Nurse practitioners,Nova Scotia,Age,Age <25,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Nova Scotia,Age,Age 25–34,17,12,19,23,30,36,37,47,57,71,
Nurse practitioners,Nova Scotia,Age,Age 35–44,45,47,53,56,64,69,78,90,118,132,
Nurse practitioners,Nova Scotia,Age,Age 45–54,60,54,52,61,61,62,70,78,86,93,
Nurse practitioners,Nova Scotia,Age,Age 55–64,26,32,37,39,46,50,51,52,59,61,
Nurse practitioners,Nova Scotia,Age,Age 65+,1,1,2,3,3,3,4,7,10,11,
Nurse practitioners,Nova Scotia,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Nova Scotia,Age,Average age,46.3,47.2,46.4,46.2,46.0,45.8,45.5,45.3,45.0,44.6,
Nurse practitioners,Nova Scotia,Sex,Female,143,138,156,175,194,205,219,248,303,339,
Nurse practitioners,Nova Scotia,Sex,Male,6,8,7,7,10,15,21,26,27,29,
Nurse practitioners,Nova Scotia,Sex,Not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Nova Scotia,Inflow,Total,12,9,29,28,30,28,38,46,71,63,
Nurse practitioners,Nova Scotia,Inflow,Age <35,7,2,12,8,10,10,13,22,24,29,
Nurse practitioners,Nova Scotia,Inflow,Age 35–54,5,7,16,19,17,18,25,22,37,32,
Nurse practitioners,Nova Scotia,Inflow,Age 55+,0,0,1,1,3,0,0,2,10,2,
Nurse practitioners,Nova Scotia,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Nova Scotia,Outflow,Total,12,12,9,8,12,18,12,15,25,—,
Nurse practitioners,Nova Scotia,Outflow,Age <35,3,1,2,2,2,7,4,3,4,—,
Nurse practitioners,Nova Scotia,Outflow,Age 35–54,8,8,4,3,5,5,6,10,15,—,
Nurse practitioners,Nova Scotia,Outflow,Age 55+,1,3,3,3,5,6,2,2,6,—,
Nurse practitioners,Nova Scotia,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,—,
Nurse practitioners,Nova Scotia,Renewal,Total,137,137,134,154,174,192,202,228,259,305,
Nurse practitioners,Nova Scotia,Renewal,Age <35,10,10,7,15,20,26,24,25,33,42,
Nurse practitioners,Nova Scotia,Renewal,Age 35–54,100,94,89,98,108,113,123,146,167,193,
Nurse practitioners,Nova Scotia,Renewal,Age 55+,27,33,38,41,46,53,55,57,59,70,
Nurse practitioners,Nova Scotia,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Nova Scotia,Employment status,Employed in profession,143,141,157,175,201,209,228,258,314,360,
Nurse practitioners,Nova Scotia,Employment status,Employed in other than profession and seeking employment in profession,0,1,0,0,0,0,0,0,0,0,
Nurse practitioners,Nova Scotia,Employment status,Employed in other than profession and not seeking employment in profession,0,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Nova Scotia,Employment status,Not employed and seeking employment in profession,0,0,0,0,0,2,0,3,16,4,
Nurse practitioners,Nova Scotia,Employment status,Not employed and not seeking employment in profession,0,0,0,0,0,1,0,0,0,1,
Nurse practitioners,Nova Scotia,Employment status,Not stated,6,4,6,7,3,8,12,13,0,3,
Nurse practitioners,Nova Scotia,Location of graduation,Canadian educated,145,143,159,178,199,212,232,265,314,354,
Nurse practitioners,Nova Scotia,Location of graduation,Internationally educated,4,3,4,4,5,8,8,9,16,14,
Nurse practitioners,Nova Scotia,Location of graduation,Not stated,0,0,0,0,0,0,0,0,0,0,
