Type of professional,Province/territory,Health region,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Nurse practitioners,Newfoundland and Labrador,Newfoundland and Labrador (regional integrated health authorities) (total),125,137,151,153,171,180,194,218,246,264
Nurse practitioners,Newfoundland and Labrador,Eastern-Urban Zone,57,60,67,67,71,79,91,105,132,157
Nurse practitioners,Newfoundland and Labrador,Eastern-Rural Zone,12,14,15,18,23,25,25,28,26,25
Nurse practitioners,Newfoundland and Labrador,Central Zone,25,26,28,33,32,30,34,39,36,35
Nurse practitioners,Newfoundland and Labrador,Western Zone,13,16,20,19,22,23,26,27,30,26
Nurse practitioners,Newfoundland and Labrador,Labrador-Grenfell Zone,18,21,21,16,23,20,15,16,18,17
Nurse practitioners,Newfoundland and Labrador,Other*,0,0,0,0,0,3,3,3,4,4
Nurse practitioners,Prince Edward Island,Prince Edward Island (total),13,21,23,26,36,42,,54,64,
Nurse practitioners,Prince Edward Island,Health PEI,13,21,23,26,36,42,,54,64,
Nurse practitioners,Nova Scotia,Nova Scotia (district health authorities) (total),138,134,149,165,192,199,221,251,295,
Nurse practitioners,Nova Scotia,Western Zone,32,34,35,34,40,40,43,48,,
Nurse practitioners,Nova Scotia,Northern Zone,13,12,13,16,23,24,27,35,,
Nurse practitioners,Nova Scotia,Eastern Zone,20,20,24,26,28,27,43,42,,
Nurse practitioners,Nova Scotia,Central Zone,71,68,77,89,100,105,104,124,,
Nurse practitioners,Nova Scotia,Other*,2,0,0,0,1,3,4,2,,
Nurse practitioners,New Brunswick,New Brunswick (total),100,107,113,121,130,139,146,158,171,211
Nurse practitioners,New Brunswick,Zone 1 (Moncton Area),27,29,29,32,31,40,42,43,44,49
Nurse practitioners,New Brunswick,Zone 2 (Saint John Area),29,31,31,30,29,31,32,41,29,31
Nurse practitioners,New Brunswick,Zone 3 (Fredericton Area),22,25,26,30,36,36,34,39,56,85
Nurse practitioners,New Brunswick,Zone 4 (Edmundston Area),4,5,6,6,7,6,7,8,7,7
Nurse practitioners,New Brunswick,Zone 5 (Campbellton Area),6,4,6,6,7,8,8,9,11,13
Nurse practitioners,New Brunswick,Zone 6 (Bathurst Area),10,9,11,12,14,11,12,12,14,16
Nurse practitioners,New Brunswick,Zone 7 (Miramichi Area),2,4,4,5,6,7,8,6,4,6
Nurse practitioners,New Brunswick,Other*,0,0,0,0,0,0,3,0,6,4
Nurse practitioners,Quebec,Quebec (health regions) (total),297,370,420,481,519,655,910,1133,1341,1540
Nurse practitioners,Quebec,Bas-Saint-Laurent Region,6,4,7,10,9,8,12,15,17,25
Nurse practitioners,Quebec,Saguenay-Lac-Saint-Jean Region,7,6,8,12,14,13,19,22,37,44
Nurse practitioners,Quebec,Capitale-Nationale Region,33,38,45,44,51,69,99,127,145,158
Nurse practitioners,Quebec,Mauricie et Centre-du-Quebec Region,25,33,34,38,41,48,59,80,93,103
Nurse practitioners,Quebec,Estrie Region,20,26,31,36,35,42,52,61,67,81
Nurse practitioners,Quebec,Montreal Region,80,106,113,135,149,200,287,362,439,458
Nurse practitioners,Quebec,Outaouais Region,13,15,16,19,20,26,36,38,48,52
Nurse practitioners,Quebec,Abitibi-Temiscamingue Region,8,10,12,14,15,16,25,27,30,26
Nurse practitioners,Quebec,Cote-Nord Region,2,2,3,3,4,6,6,6,8,11
Nurse practitioners,Quebec,Nord-du-Quebec Region,1,1,1,1,1,1,1,2,3,3
Nurse practitioners,Quebec,Gaspesie-Iles-de-la-Madeleine Region,4,5,5,7,10,11,12,13,16,17
Nurse practitioners,Quebec,Chaudiere-Appalaches Region,16,17,17,18,19,32,40,52,52,59
Nurse practitioners,Quebec,Laval Region,7,9,12,13,13,24,30,45,53,63
Nurse practitioners,Quebec,Lanaudiere Region,22,30,34,36,35,44,57,58,68,90
Nurse practitioners,Quebec,Laurentides Region,21,27,26,28,31,36,53,68,85,94
Nurse practitioners,Quebec,Monteregie Region,30,40,53,64,71,79,122,154,177,203
Nurse practitioners,Quebec,Nunavik Region,0,0,1,1,0,0,0,3,3,4
Nurse practitioners,Quebec,Terres-Cries-de-la-Baie-James Region,1,1,2,2,1,0,0,0,0,2
Nurse practitioners,Quebec,Other*,1,0,0,0,0,0,0,0,0,47
Nurse practitioners,Ontario,Ontario (health regions) (total),2354,2576,2792,2949,3185,3333,3544,3797,4060,4375
Nurse practitioners,Ontario,West Region,732,795,871,924,987,1031,1097,1159,1218,1299
Nurse practitioners,Ontario,Central Region,302,331,351,384,435,461,488,546,596,651
Nurse practitioners,Ontario,Toronto Region,534,606,665,704,766,815,875,932,1009,1090
Nurse practitioners,Ontario,East Region,473,512,553,579,621,641,687,735,786,851
Nurse practitioners,Ontario,North East Region,213,211,217,221,223,232,245,257,269,284
Nurse practitioners,Ontario,North West Region,100,119,132,137,151,151,150,168,182,200
Nurse practitioners,Ontario,Other*,0,2,3,0,2,2,2,0,0,0
Nurse practitioners,Manitoba,Manitoba (regional health authorities) (total),126,138,153,167,,,,,,
Nurse practitioners,Manitoba,Winnipeg-Churchill Health Region,79,86,95,104,,,,,,
Nurse practitioners,Manitoba,Prairie Mountain Health Region,14,17,17,21,,,,,,
Nurse practitioners,Manitoba,Interlake-Eastern Health Region,15,14,18,19,,,,,,
Nurse practitioners,Manitoba,Northern Health Region,6,7,5,5,,,,,,
Nurse practitioners,Manitoba,Southern Health Region,12,14,18,18,,,,,,
Nurse practitioners,Manitoba,Other*,0,0,0,0,,,,,,
Nurse practitioners,Saskatchewan,Saskatchewan (regional health authorities) (total),157,175,189,194,225,196,209,236,244,226
Nurse practitioners,Saskatchewan,Far North Zone,15,14,14,14,22,19,19,19,18,16
Nurse practitioners,Saskatchewan,North Central West Zone,17,20,23,23,22,18,16,20,19,18
Nurse practitioners,Saskatchewan,North Central East Zone,28,32,35,39,45,29,33,36,37,35
Nurse practitioners,Saskatchewan,Saskatoon Zone,29,34,33,36,40,49,51,51,64,63
Nurse practitioners,Saskatchewan,South West Zone,25,27,26,25,30,22,22,25,29,23
Nurse practitioners,Saskatchewan,South East Zone,27,28,32,33,37,31,33,37,40,35
Nurse practitioners,Saskatchewan,Regina Zone,16,20,26,24,29,28,35,47,37,36
Nurse practitioners,Saskatchewan,Other*,0,0,0,0,0,0,0,1,0,0
Nurse practitioners,Alberta,Alberta (regional health authorities) (total),320,398,424,475,530,549,573,581,640,
Nurse practitioners,Alberta,South Zone,7,9,10,13,14,18,18,19,24,
Nurse practitioners,Alberta,Calgary Zone,100,143,158,173,191,202,201,206,241,
Nurse practitioners,Alberta,Central Zone,3,11,14,17,21,21,24,30,34,
Nurse practitioners,Alberta,Edmonton Zone,197,204,218,239,271,271,292,285,302,
Nurse practitioners,Alberta,North Zone,12,26,24,33,33,37,38,40,39,
Nurse practitioners,Alberta,Other*,1,5,0,0,0,0,0,1,0,
Nurse practitioners,British Columbia,British Columbia (health service delivery areas) (total),202,224,309,343,420,485,577,665,764,861
Nurse practitioners,British Columbia,East Kootenay HSDA,4,1,5,4,4,4,5,8,9,9
Nurse practitioners,British Columbia,Kootenay-Boundary HSDA,5,2,5,6,9,10,11,10,13,13
Nurse practitioners,British Columbia,Okanagan HSDA,13,13,23,31,30,37,50,52,66,67
Nurse practitioners,British Columbia,Thompson/Cariboo HSDA,9,12,22,21,24,23,27,30,32,35
Nurse practitioners,British Columbia,Fraser East HSDA,8,9,18,17,30,33,35,42,43,43
Nurse practitioners,British Columbia,Fraser North HSDA,19,19,23,32,26,41,51,62,76,87
Nurse practitioners,British Columbia,Fraser South HSDA,17,23,30,30,44,52,57,63,63,73
Nurse practitioners,British Columbia,Richmond HSDA,0,1,1,1,2,3,4,10,11,18
Nurse practitioners,British Columbia,Vancouver HSDA,69,83,94,106,121,137,179,185,219,252
Nurse practitioners,British Columbia,North Shore/Coast Garibaldi HSDA,5,9,10,14,20,24,21,29,37,51
Nurse practitioners,British Columbia,South Vancouver Island HSDA,16,14,28,25,32,44,45,60,75,84
Nurse practitioners,British Columbia,Central Vancouver Island HSDA,8,9,15,24,27,26,38,45,51,52
Nurse practitioners,British Columbia,North Vancouver Island HSDA,9,11,11,10,13,14,12,18,19,27
Nurse practitioners,British Columbia,Northwest HSDA,3,2,4,2,7,9,11,14,18,14
Nurse practitioners,British Columbia,Northern Interior HSDA,15,11,14,20,27,20,22,27,24,28
Nurse practitioners,British Columbia,Northeast HSDA,2,4,4,0,3,5,5,4,6,7
Nurse practitioners,British Columbia,Other*,0,1,2,0,1,3,4,6,2,1
Nurse practitioners,Yukon,Yukon (total),3,4,6,7,10,14,22,20,16,
Nurse practitioners,Northwest Territories/Nunavut,Northwest Territories/Nunavut (total),39,32,46,44,38,40,45,,,
Nurse practitioners,Jurisdictions with available data,Jurisdictions with available data (total),3874,4316,4775,5125,5456,5832,6441,7113,7841,7477
Registered nurses,Newfoundland and Labrador,Newfoundland and Labrador (regional integrated health authorities) (total),5312,5268,5253,5141,5089,5119,5188,5183,5240,5412
Registered nurses,Newfoundland and Labrador,Eastern-Urban Zone,2901,2886,2834,2775,2765,2787,2837,2878,2932,3091
Registered nurses,Newfoundland and Labrador,Eastern-Rural Zone,612,596,611,613,595,601,603,591,589,569
Registered nurses,Newfoundland and Labrador,Central Zone,672,686,706,684,671,662,685,650,652,656
Registered nurses,Newfoundland and Labrador,Western Zone,779,772,758,737,734,721,733,727,731,737
Registered nurses,Newfoundland and Labrador,Labrador-Grenfell Zone,347,327,344,332,322,325,303,309,300,323
Registered nurses,Newfoundland and Labrador,Other*,1,1,0,0,2,23,27,28,36,36
Registered nurses,Prince Edward Island,Prince Edward Island (total),1336,1318,1348,1357,1404,1398,,,1596,
Registered nurses,Prince Edward Island,Health PEI,1336,1318,1348,1357,1404,1398,,,1596,
Registered nurses,Nova Scotia,Nova Scotia (district health authorities) (total),8228,8206,8205,8129,8198,8441,8672,8820,9050,
Registered nurses,Nova Scotia,Western Zone,1289,1258,1259,1251,1268,1319,1355,1371,844,
Registered nurses,Nova Scotia,Northern Zone,1041,1006,1000,986,981,1006,1046,1058,617,
Registered nurses,Nova Scotia,Eastern Zone,1710,1702,1696,1688,1703,1714,1727,1738,1030,
Registered nurses,Nova Scotia,Central Zone,4125,4170,4214,4172,4203,4352,4475,4604,5335,
Registered nurses,Nova Scotia,Other*,63,70,36,32,43,50,69,49,1224,
Registered nurses,New Brunswick,New Brunswick (total),6935,6858,6881,6844,6925,6912,6794,6687,5998,7058
Registered nurses,New Brunswick,Zone 1 (Moncton Area),1966,1966,1976,1973,1995,2021,1968,1916,1683,2079
Registered nurses,New Brunswick,Zone 2 (Saint John Area),1707,1685,1679,1681,1691,1699,1667,1646,1413,1582
Registered nurses,New Brunswick,Zone 3 (Fredericton Area),1306,1274,1315,1313,1356,1346,1352,1349,1207,1393
Registered nurses,New Brunswick,Zone 4 (Edmundston Area),486,485,481,482,475,456,451,464,383,447
Registered nurses,New Brunswick,Zone 5 (Campbellton Area),380,362,351,338,335,324,305,292,227,270
Registered nurses,New Brunswick,Zone 6 (Bathurst Area),707,702,696,679,688,693,680,668,606,689
Registered nurses,New Brunswick,Zone 7 (Miramichi Area),383,382,383,378,384,373,365,352,286,374
Registered nurses,New Brunswick,Other*,0,2,0,0,1,0,6,0,193,224
Registered nurses,Quebec,Quebec (health regions) (total),59746,59919,60439,61591,61585,61812,64079,64631,66019,66598
Registered nurses,Quebec,Bas-Saint-Laurent Region,1658,1642,1599,1574,1549,1544,1561,1567,1609,1584
Registered nurses,Quebec,Saguenay-Lac-Saint-Jean Region,2332,2328,2309,2331,2339,2314,2339,2336,2380,2396
Registered nurses,Quebec,Capitale-Nationale Region,7914,7897,7948,8021,7998,8034,8200,8144,8257,8393
Registered nurses,Quebec,Mauricie et Centre-du-Quebec Region,3522,3516,3550,3546,3558,3550,3608,3600,3714,3658
Registered nurses,Quebec,Estrie Region,3477,3540,3573,3587,3611,3658,3768,3743,3888,3924
Registered nurses,Quebec,Montreal Region,19625,19585,19720,20369,20521,20585,21368,21553,21582,21952
Registered nurses,Quebec,Outaouais Region,1890,1896,1926,1964,1919,1954,1984,1967,1976,1957
Registered nurses,Quebec,Abitibi-Temiscamingue Region,1135,1121,1114,1126,1073,1080,1107,1106,1153,1170
Registered nurses,Quebec,Cote-Nord Region,776,784,786,773,738,720,742,731,732,745
Registered nurses,Quebec,Nord-du-Quebec Region,142,148,140,129,129,125,131,129,122,124
Registered nurses,Quebec,Gaspesie-Iles-de-la-Madeleine Region,822,828,820,813,786,792,808,823,885,867
Registered nurses,Quebec,Chaudiere-Appalaches Region,2427,2433,2426,2472,2463,2450,2502,2572,2605,2578
Registered nurses,Quebec,Laval Region,1928,2120,2220,2269,2168,2301,2524,2614,2772,2831
Registered nurses,Quebec,Lanaudiere Region,2352,2303,2319,2376,2405,2360,2442,2477,2585,2664
Registered nurses,Quebec,Laurentides Region,2890,2903,2958,3001,3014,3030,3305,3402,3506,3550
Registered nurses,Quebec,Monteregie Region,6448,6501,6657,6848,6917,6908,7222,7379,7554,7598
Registered nurses,Quebec,Nunavik Region,194,202,190,205,202,205,243,261,262,271
Registered nurses,Quebec,Terres-Cries-de-la-Baie-James Region,157,171,184,187,195,202,225,224,229,250
Registered nurses,Quebec,Other*,57,1,0,0,0,0,0,3,208,86
Registered nurses,Ontario,Ontario (health regions) (total),86757,86666,86246,86636,88380,88752,89915,90692,92238,96715
Registered nurses,Ontario,West Region,25461,25225,24810,24877,25228,25240,25437,25503,25767,27059
Registered nurses,Ontario,Central Region,13960,14203,14343,14562,15137,15306,15669,16075,17051,18138
Registered nurses,Ontario,Toronto Region,21947,22026,22022,22074,22556,22631,22905,23063,23441,24656
Registered nurses,Ontario,East Region,18278,18199,18085,18182,18460,18498,18771,18874,18908,19510
Registered nurses,Ontario,North East Region,4769,4685,4693,4648,4635,4669,4712,4791,4701,4868
Registered nurses,Ontario,North West Region,2332,2301,2272,2290,2349,2390,2402,2368,2353,2466
Registered nurses,Ontario,Other*,10,27,21,3,15,18,19,18,17,18
Registered nurses,Manitoba,Manitoba (regional health authorities) (total),9760,9826,10733,10173,,,,,,
Registered nurses,Manitoba,Winnipeg-Churchill Health Region,6200,6224,6778,6447,,,,,,
Registered nurses,Manitoba,Prairie Mountain Health Region,1149,1137,1227,1140,,,,,,
Registered nurses,Manitoba,Interlake-Eastern Health Region,916,909,1004,974,,,,,,
Registered nurses,Manitoba,Northern Health Region,355,369,414,394,,,,,,
Registered nurses,Manitoba,Southern Health Region,1135,1186,1296,1215,,,,,,
Registered nurses,Manitoba,Other*,5,1,14,3,,,,,,
Registered nurses,Saskatchewan,Saskatchewan (regional health authorities) (total),9030,9211,9350,9458,9770,9688,9870,10095,10252,10465
Registered nurses,Saskatchewan,Far North Zone,114,129,143,130,134,144,150,144,137,136
Registered nurses,Saskatchewan,North Central West Zone,641,621,625,640,646,627,612,603,596,591
Registered nurses,Saskatchewan,North Central East Zone,780,800,810,870,887,865,866,871,867,846
Registered nurses,Saskatchewan,Saskatoon Zone,3110,3283,3335,3368,3496,3667,3861,3994,4295,4548
Registered nurses,Saskatchewan,South West Zone,836,850,856,848,869,810,789,788,774,773
Registered nurses,Saskatchewan,South East Zone,1090,1070,1090,1109,1143,1053,1052,1045,1029,1058
Registered nurses,Saskatchewan,Regina Zone,2449,2445,2485,2490,2586,2522,2538,2641,2542,2490
Registered nurses,Saskatchewan,Other*,10,13,6,3,9,0,2,9,12,23
