Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Nurse practitioners,Newfoundland and Labrador,Supply,Total,136.00,149.00,165.00,168.00,183.00,191.00,207.00,231.00,260.00,290.00
Nurse practitioners,Newfoundland and Labrador,Age,Age <25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Newfoundland and Labrador,Age,Age 25-34,13.00,23.00,28.00,28.00,37.00,33.00,43.00,46.00,60.00,54.00
Nurse practitioners,Newfoundland and Labrador,Age,Age 35-44,39.00,37.00,38.00,42.00,50.00,60.00,63.00,75.00,87.00,112.00
Nurse practitioners,Newfoundland and Labrador,Age,Age 45-54,61.00,59.00,67.00,67.00,61.00,59.00,62.00,65.00,63.00,67.00
Nurse practitioners,Newfoundland and Labrador,Age,Age 55-64,21.00,28.00,28.00,25.00,31.00,34.00,33.00,40.00,45.00,52.00
Nurse practitioners,Newfoundland and Labrador,Age,Age 65+,2.00,2.00,4.00,6.00,4.00,5.00,6.00,5.00,5.00,5.00
Nurse practitioners,Newfoundland and Labrador,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Newfoundland and Labrador,Age,Average age,47.00,46.40,46.10,45.90,44.90,45.20,44.80,44.50,44.00,44.20
Nurse practitioners,Newfoundland and Labrador,Sex,Female,117.00,127.00,141.00,144.00,158.00,166.00,177.00,197.00,226.00,254.00
Nurse practitioners,Newfoundland and Labrador,Sex,Male,19.00,22.00,24.00,24.00,25.00,25.00,30.00,34.00,34.00,36.00
Nurse practitioners,Newfoundland and Labrador,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Newfoundland and Labrador,Inflow,Total,12.00,,21.00,18.00,31.00,21.00,27.00,36.00,36.00,48.00
Nurse practitioners,Newfoundland and Labrador,Inflow,Age <35,9.00,,12.00,7.00,13.00,7.00,14.00,21.00,22.00,11.00
Nurse practitioners,Newfoundland and Labrador,Inflow,Age 35-54,3.00,,6.00,9.00,14.00,11.00,13.00,13.00,12.00,34.00
Nurse practitioners,Newfoundland and Labrador,Inflow,Age 55+,0.00,,3.00,2.00,4.00,3.00,0.00,2.00,2.00,3.00
Nurse practitioners,Newfoundland and Labrador,Inflow,Age not stated,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse practitioners,Newfoundland and Labrador,Outflow,Total,,5.00,15.00,16.00,13.00,11.00,12.00,7.00,18.00,
Nurse practitioners,Newfoundland and Labrador,Outflow,Age <35,,1.00,2.00,2.00,2.00,3.00,5.00,0.00,6.00,
Nurse practitioners,Newfoundland and Labrador,Outflow,Age 35-54,,2.00,5.00,7.00,6.00,4.00,4.00,5.00,8.00,
Nurse practitioners,Newfoundland and Labrador,Outflow,Age 55+,,2.00,8.00,7.00,5.00,4.00,3.00,2.00,4.00,
Nurse practitioners,Newfoundland and Labrador,Outflow,Age not stated,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
