Type of professional,Year,Age younger than 25 (N),Age younger than 25 (%),Age 25 to 29 (N),Age 25 to 29 (%),Age 30 to 34 (N),Age 30 to 34 (%),Age 35 to 39 (N),Age 35 to 39 (%),Age 40 to 44 (N),Age 40 to 44 (%),Age 45 to 49 (N),Age 45 to 49 (%),Age 50 to 54 (N),Age 50 to 54 (%),Age 55 to 59 (N),Age 55 to 59 (%),Age 60 to 64 (N),Age 60 to 64 (%),Age 65 and older (N),Age 65 and older (%),Age not stated (N),Age not stated (%)
Nurse practitioners,2015,0.00,0.00,111.00,2.90,637.00,16.40,639.00,16.50,554.00,14.30,566.00,14.60,632.00,16.30,419.00,10.80,260.00,6.70,56.00,1.40,0.00,
Nurse practitioners,2016,0.00,0.00,134.00,3.10,757.00,17.50,773.00,17.90,604.00,14.00,595.00,13.80,640.00,14.80,445.00,10.30,299.00,6.90,69.00,1.60,0.00,
Nurse practitioners,2017,0.00,0.00,140.00,2.90,855.00,17.90,897.00,18.80,687.00,14.40,645.00,13.50,649.00,13.60,494.00,10.30,314.00,6.60,94.00,2.00,0.00,
Nurse practitioners,2018,0.00,0.00,131.00,2.60,899.00,17.50,1058.00,20.60,743.00,14.50,667.00,13.00,646.00,12.60,546.00,10.70,313.00,6.10,122.00,2.40,0.00,
Nurse practitioners,2019,1.00,0.00,127.00,2.30,943.00,17.30,1204.00,22.10,811.00,14.90,651.00,11.90,631.00,11.60,604.00,11.10,335.00,6.10,149.00,2.70,0.00,
Nurse practitioners,2020,0.00,0.00,128.00,2.20,958.00,16.40,1325.00,22.70,943.00,16.20,719.00,12.30,628.00,10.80,617.00,10.60,341.00,5.80,173.00,3.00,0.00,
Nurse practitioners,2021,0.00,0.00,157.00,2.40,1026.00,15.90,1514.00,23.50,1100.00,17.10,789.00,12.20,649.00,10.10,616.00,9.60,364.00,5.70,226.00,3.50,0.00,
Nurse practitioners,2022,0.00,0.00,206.00,2.90,1198.00,16.80,1610.00,22.60,1287.00,18.10,885.00,12.40,711.00,10.00,605.00,8.50,380.00,5.30,231.00,3.20,0.00,
Nurse practitioners,2023,0.00,0.00,252.00,3.20,1359.00,17.30,1756.00,22.40,1505.00,19.20,949.00,12.10,742.00,9.50,598.00,7.60,421.00,5.40,259.00,3.30,0.00,
Nurse practitioners,2024,0.00,0.00,245.00,3.30,1339.00,17.90,1670.00,22.30,1510.00,20.20,907.00,12.10,623.00,8.30,522.00,7.00,422.00,5.60,239.00,3.20,0.00,
Registered nurses,2015,8296.00,3.40,29556.00,12.00,32126.00,13.00,27532.00,11.10,28518.00,11.50,29536.00,11.90,32456.00,13.10,28425.00,11.50,20269.00,8.20,10500.00,4.20,1.00,
Registered nurses,2016,8110.00,3.30,30803.00,12.40,33225.00,13.30,29070.00,11.70,28309.00,11.40,29360.00,11.80,31994.00,12.80,27804.00,11.20,19716.00,7.90,10702.00,4.30,1.00,
Registered nurses,2017,8241.00,3.30,32234.00,12.70,34391.00,13.60,30638.00,12.10,28503.00,11.30,29613.00,11.70,31428.00,12.40,27565.00,10.90,19192.00,7.60,11022.00,4.40,0.00,
Registered nurses,2018,8611.00,3.40,33584.00,13.20,35359.00,13.90,32313.00,12.70,28303.00,11.10,29393.00,11.60,30345.00,11.90,27415.00,10.80,18203.00,7.20,10826.00,4.30,0.00,
Registered nurses,2019,8544.00,3.50,33284.00,13.50,34525.00,14.00,32124.00,13.10,27450.00,11.20,27988.00,11.40,28005.00,11.40,26399.00,10.70,16804.00,6.80,10697.00,4.40,0.00,
Registered nurses,2020,8344.00,3.40,33915.00,13.60,35953.00,14.50,33520.00,13.50,28179.00,11.30,27795.00,11.20,27604.00,11.10,26006.00,10.50,16599.00,6.70,10784.00,4.30,0.00,
Registered nurses,2021,8626.00,3.40,34630.00,13.70,37669.00,14.90,35042.00,13.90,29486.00,11.70,27725.00,11.00,27479.00,10.90,25614.00,10.10,16193.00,6.40,10427.00,4.10,0.00,
